trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",35,0,-178.51667925621345,"{0: 21, 1: 5, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,8,-54.82769510205246,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-114.37592679275286,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-149.66024216868266,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-109.92033634362544,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-132.2669362206182,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-201.60811285189197,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.96}",35,0,-171.84709801094027,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-95.4502146456873,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",35,0,-230.3318211570311,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-30.533704082045624,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-99.13376007851062,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-112.97938000062025,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,6,-57.14175410544969,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-69.31352216161501,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-62.98306528247824,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-94.63020480722359,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-103.81722730149525,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-87.96791115046672,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,6,-57.63276810917631,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,7,-0.9121928261655734,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-79.17430630251727,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-207.44366060864715,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
