trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.19870637013247,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.6937176209021,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.82016910776989,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-198.32244117928076,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.73030049690199,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.26582581365945,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.08084613166082,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.6384163245122,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.0663687175157,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.38751659494463,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.10561267845054,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.08000359477003,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.1626322770614,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.67268413217545,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.7020927939689,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.7396126149803,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,10,-88.29485591340236,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.33675289558633,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.24935879464273,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.10112045572235,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-233.52805307806355,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.32549908402937,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-112.37089078467216,"{0: 21, 1: 8, 2: 3, 3: 3, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-126.02967575781067,"{0: 15, 1: 8, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.13497936255291,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,9,-79.60997082819435,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.61752557002447,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-101.99969787087902,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.7129157136432,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.91630715009222,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
